Day,Hour,Base_Load_W
63,18,2884.2
63,19,2952.3
63,20,2899.5
63,21,2886.7
63,22,2787.1
63,23,2538.7
63,24,2281.9
64,1,2013.6
64,2,1918.8
64,3,1931.2
64,4,1927.2
64,5,1936.5
64,6,2062.8
64,7,2345.4
64,8,2679.0
64,9,2545.9
64,10,2388.8
64,11,2264.9
64,12,2083.0
64,13,1996.1
64,14,1988.0
64,15,1973.9
64,16,2073.4
64,17,2270.5
64,18,2434.4
64,19,2640.4
64,20,2640.8
64,21,2769.2
64,22,2712.9
64,23,2497.9
64,24,2229.6
65,1,2027.4
65,2,1903.5
65,3,1864.7
65,4,1870.4
65,5,1873.4
65,6,1990.6
65,7,2336.5
65,8,2581.5
65,9,2501.3
